Symbol,Entry,Exit,Entry_Open,Exit_Open,Return_net_%,PnL_%_of_equity_at_entry,Sessions,Weeks,Hold bucket,Reason,Exit_Rank,Exit_Score,Below_buy_price_raw,Rebought_4w,Next_Entry,Next_Entry_Open,Churn_cost_%_equity
CDNS,2023-02-27,2023-03-06,195.35,196.94,0.6125,0.0979,5,1,1 wk,sector cap displacement,11.0,47.8851,False,True,2023-03-13,194.55,-0.1578
VRT,2023-02-21,2023-03-13,15.77,13.89,-12.2623,-1.1057,14,3,2–3 wk,rank drift (score > 0),21.0,11.074,True,False,2023-06-12,21.22,
RCL,2023-01-17,2023-03-13,61.44,62.66,-1.3483,0.2579,38,8,4–8 wk,rank drift (score > 0),18.0,13.7207,False,False,2023-05-08,74.03,
TWLO,2023-03-06,2023-03-13,74.08,62.75,-15.4635,-1.3832,5,1,1 wk,sector cap displacement,16.0,20.2347,True,False,2025-01-21,113.56,
FTNT,2023-03-06,2023-03-13,61.11,58.22,-4.9195,-0.6581,5,1,1 wk,sector cap displacement,13.0,39.3943,True,False,2023-04-17,68.36,
SLB,2023-03-06,2023-03-13,50.86,45.27,-11.1688,-1.6049,5,1,1 wk,score <= 0,,-7.4327,True,False,2023-08-14,54.81,
SMCI,2023-02-27,2023-03-13,9.886,9.1,-8.1341,-0.695,10,2,2–3 wk,sector cap displacement,12.0,40.8607,True,True,2023-03-27,11.2,1.9593
CDNS,2023-03-13,2023-03-20,194.55,207.0,6.1868,0.42,5,1,1 wk,sector cap displacement,9.0,53.4166,False,False,2025-04-28,288.02,
LMT,2023-03-13,2023-03-20,429.83,426.5,-0.973,-0.1207,5,1,1 wk,score <= 0,,-11.7427,True,True,2023-04-10,447.95,0.6287
IREN,2023-03-13,2023-03-20,2.68,3.21,19.5368,0.2106,5,1,1 wk,rank drift (score > 0),32.0,7.4759,False,True,2023-04-17,4.22,0.3994
AVGO,2023-03-13,2023-03-20,57.73,60.17,4.0183,0.2793,5,1,1 wk,sector cap displacement,8.0,53.6225,False,False,2023-10-16,86.25,
ACHR,2023-03-06,2023-03-20,3.1,2.57,-17.2624,-0.6689,10,2,2–3 wk,score <= 0,,-21.3772,True,False,2023-07-03,4.2,
HIMS,2023-01-17,2023-03-27,7.51,9.63,6.3248,2.0336,48,10,9+ wk,rank drift (score > 0),29.0,23.4871,False,True,2023-04-03,9.92,0.2449
AVAV,2023-03-13,2023-03-27,88.55,90.99,0.808,0.1305,10,2,2–3 wk,rank drift (score > 0),27.0,25.0897,False,True,2023-04-03,91.67,0.1488
ANET,2023-03-13,2023-03-27,36.29,42.35,8.7368,1.3687,10,2,2–3 wk,sector cap displacement,5.0,63.5007,False,False,2023-08-07,45.03,
COIN,2023-03-20,2023-04-03,76.76,66.01,-12.9269,-0.6856,10,2,2–3 wk,rank drift (score > 0),32.0,28.1775,True,False,2023-07-24,99.23,
SMCI,2023-03-27,2023-04-03,11.2,10.66,-5.0116,-0.4522,5,1,1 wk,sector cap displacement,10.0,47.92,True,True,2023-04-17,10.92,0.2261
GOOGL,2023-03-20,2023-04-03,99.18,101.42,2.0401,0.2964,10,2,2–3 wk,rank drift (score > 0),37.0,16.5626,False,True,2023-04-10,105.97,0.6838
SHOP,2023-03-20,2023-04-10,44.11,44.69,1.0873,0.1369,14,3,2–3 wk,rank drift (score > 0),36.0,14.6758,False,True,2023-04-24,48.85,0.7464
DASH,2023-03-27,2023-04-10,61.41,59.52,-3.2713,-0.2917,9,2,2–3 wk,rank drift (score > 0),29.0,22.0774,True,False,2023-05-15,66.27,
AMD,2023-03-20,2023-04-10,96.3,91.32,-5.4113,-0.5746,14,3,2–3 wk,sector cap displacement,15.0,40.3872,True,False,2023-05-15,95.2,
NVTS,2023-04-03,2023-04-10,7.3,6.7,-8.4026,-0.5927,4,1,1 wk,sector cap displacement,20.0,35.9419,True,True,2023-04-24,6.84,0.1476
IONQ,2023-04-10,2023-04-17,6.84,6.68,-2.5343,-0.1258,5,1,1 wk,sector cap displacement,8.0,55.4145,True,True,2023-04-24,6.28,-0.2792
MSTR,2023-04-10,2023-04-17,28.98,32.15,10.7169,0.5198,5,1,1 wk,sector cap displacement,7.0,55.4523,False,True,2023-05-01,31.97,-0.0193
LMT,2023-04-10,2023-04-17,447.95,443.22,-1.2536,-0.3377,5,1,1 wk,rank drift (score > 0),39.0,19.0994,True,False,2024-04-22,435.72,
