Strategy,Start,End,Days,Total Return %,CAGR %,Sharpe,Sortino,Max DD %,Calmar,Exposure %,Time in Market %,Return per Invested Day (bp),Turnover x/yr,Trades,Closed Trades,"Win Rate % (closed, net)","Avg Trade % (closed, net)",Segment,"Avg win % (closed, net)","Avg loss % (closed, net)",Median hold (sessions)
CAP2 max 2 per sector,2022-04-01,2026-09-24,1124,386.9474,42.6044,1.477,2.293,-23.6547,1.8011,87.1666,100.0,17.749,36.4764,789,779,43.6457,0.9152,WF stitched,12.0761,-7.7288,9.6658
CAP2 max 2 per sector,2022-04-01,2024-09-16,617,74.2769,25.4669,1.0557,1.6091,-20.734,1.2283,81.8995,100.0,12.4208,34.118,420,410,41.2195,-0.3008,Never-seen 2022-04→2024-09,9.9796,-7.5099,9.6658
CAP2 max 2 per sector,2024-09-17,2026-09-24,507,177.8362,66.181,1.9112,3.0156,-23.6547,2.7978,93.5764,100.0,23.3052,39.8429,379,369,46.0705,2.0732,Seen 2024-09→now,13.9028,-8.0324,9.6658
CAP2 max 2 per sector,2025-09-24,2026-09-24,252,8.3776,8.3776,0.4415,0.6431,-20.904,0.4008,96.8336,100.0,4.6403,43.0225,208,198,42.4242,-0.0689,Last 12m,10.0218,-7.5042,8.9753
CAP3 max 3 per sector,2022-04-01,2026-09-24,1124,362.9607,40.9985,1.3256,2.0037,-29.7634,1.3775,87.762,100.0,17.4605,39.5896,848,838,44.2721,0.8278,WF stitched,11.4884,-7.6412,9.6658
CAP3 max 3 per sector,2022-04-01,2024-09-16,617,38.4403,14.2078,0.6593,0.9575,-23.6238,0.6014,82.7866,100.0,7.8438,39.1949,474,464,43.319,-0.5405,Never-seen 2022-04→2024-09,8.3297,-7.3196,9.6658
CAP3 max 3 per sector,2024-09-17,2026-09-24,507,229.8172,80.9686,1.9352,3.0046,-29.7634,2.7204,93.8169,100.0,27.4966,40.5664,384,374,44.9198,2.3705,Seen 2024-09→now,15.1703,-8.0681,9.6658
CAP3 max 3 per sector,2025-09-24,2026-09-24,252,9.0266,9.0266,0.453,0.6455,-25.267,0.3572,97.2266,100.0,5.0455,41.7039,208,198,37.8788,-0.4202,Last 12m,11.1864,-7.4974,8.9753
CAP5 max 5 per sector,2022-04-01,2026-09-24,1124,441.6032,46.0464,1.4299,2.1512,-30.3603,1.5167,87.7864,100.0,19.1094,40.841,861,851,46.5335,0.8248,WF stitched,10.5978,-7.6809,9.6658
CAP5 max 5 per sector,2022-04-01,2024-09-16,617,50.2724,18.098,0.7819,1.1525,-22.4013,0.8079,82.8288,100.0,9.5135,39.4343,469,459,44.8802,-0.8009,Never-seen 2022-04→2024-09,7.276,-7.3775,9.6658
CAP5 max 5 per sector,2024-09-17,2026-09-24,507,255.1526,87.7496,2.0303,3.0937,-30.3603,2.8903,93.8195,100.0,29.1084,43.0494,402,392,47.9592,2.5772,Seen 2024-09→now,14.1339,-8.0731,8.9753
CAP5 max 5 per sector,2025-09-24,2026-09-24,252,46.1188,46.1188,1.4026,2.1036,-19.6293,2.3495,97.2312,100.0,17.365,41.9978,201,191,42.4084,0.721,Last 12m,11.8386,-7.4656,9.6658
"CAP-none (top 10, no sector cap)",2022-04-01,2026-09-24,1124,688.2474,58.8661,1.639,2.5168,-30.2782,1.9442,87.787,100.0,23.1468,39.5911,827,817,47.4908,0.8883,WF stitched,10.6193,-7.9126,9.6658
"CAP-none (top 10, no sector cap)",2022-04-01,2024-09-16,617,54.6011,19.4757,0.8195,1.2231,-22.1685,0.8785,82.83,100.0,10.1107,38.9147,456,446,45.0673,-0.9548,Never-seen 2022-04→2024-09,7.2854,-7.7152,9.6658
"CAP-none (top 10, no sector cap)",2024-09-17,2026-09-24,507,402.4153,123.0783,2.3716,3.6958,-30.2782,4.0649,93.8195,100.0,36.8421,40.9108,381,371,49.8652,2.9407,Seen 2024-09→now,14.1293,-8.1877,8.9753
"CAP-none (top 10, no sector cap)",2025-09-24,2026-09-24,252,91.589,91.589,1.9664,3.0717,-14.6469,6.2531,97.2312,100.0,29.276,40.6099,189,179,43.0168,0.864,Last 12m,10.7392,-6.5907,8.2849
E1 buffer: hold until rank > 15,2022-04-01,2026-09-24,1124,305.8475,36.8972,1.2311,1.868,-30.2849,1.2183,87.7841,100.0,16.091,29.0351,575,565,40.354,-0.419,WF stitched,11.644,-8.5803,14.4986
E1 buffer: hold until rank > 15,2022-04-01,2024-09-16,617,41.5033,15.2331,0.6977,1.0361,-24.6629,0.6177,82.8307,100.0,8.2484,28.0003,314,304,39.4737,-1.6713,Never-seen 2022-04→2024-09,8.7251,-8.4516,14.4986
E1 buffer: hold until rank > 15,2024-09-17,2026-09-24,507,186.8898,68.8509,1.7398,2.6771,-30.2849,2.2734,93.8123,100.0,24.5237,30.7862,271,261,40.9962,0.6549,Seen 2024-09→now,14.2105,-8.7636,10.3562
E1 buffer: hold until rank > 15,2025-09-24,2026-09-24,252,23.5698,23.5698,0.8869,1.2958,-17.9873,1.3104,97.2198,100.0,10.29,31.6717,139,129,34.8837,-1.7582,Last 12m,10.1314,-8.1277,9.6658
E2 buffer: hold until rank > 20,2022-04-01,2026-09-24,1124,358.2154,40.6732,1.3313,1.9953,-29.9512,1.358,87.7851,100.0,17.3055,24.0302,454,444,41.2162,-0.517,WF stitched,11.8616,-9.1963,14.4986
E2 buffer: hold until rank > 20,2022-04-01,2024-09-16,617,52.5521,18.8264,0.8246,1.2154,-25.6532,0.7339,82.827,100.0,9.7115,23.0771,248,238,39.916,-1.8278,Never-seen 2022-04→2024-09,8.9867,-9.0123,14.4986
E2 buffer: hold until rank > 20,2024-09-17,2026-09-24,507,199.5399,72.5114,1.8143,2.7485,-29.9512,2.421,93.819,100.0,25.4063,25.6918,216,206,40.7767,0.3519,Seen 2024-09→now,14.4192,-9.3338,14.4986
E2 buffer: hold until rank > 20,2025-09-24,2026-09-24,252,31.7168,31.7168,1.0843,1.603,-19.3976,1.6351,97.2214,100.0,13.0124,27.7852,117,107,34.5794,-2.604,Last 12m,7.8027,-8.1046,9.6658
E3 buffer: hold until rank > 25,2022-04-01,2026-09-24,1124,239.1276,31.4943,1.0892,1.5878,-37.9669,0.8295,87.7884,100.0,14.289,20.295,373,363,39.3939,-1.4977,WF stitched,12.5159,-10.6065,19.3315
E3 buffer: hold until rank > 25,2022-04-01,2024-09-16,617,50.0186,18.0165,0.7827,1.1337,-22.5482,0.799,82.8335,100.0,9.4633,19.0124,203,193,40.4145,-2.6364,Never-seen 2022-04→2024-09,9.222,-10.6794,19.3315
